SHEET_NUMBER=2;
SHEET_NAME=Adresse;13;492;
division;identité;type;zone;nom du site;lieu dit;rue;ville;pays;code postale;commentaire;latitude;longitude;
idClub;id;idTypeSite;idZone;name;[note];street;city;country;postcode;comments;latitude;longitude;
string;string key;string;string;string;string;string;string;string;string;string;string;string;
00;50010;1;;Grandpuits-Bailly-Carrois PDR;;;;;77000;;48,58397;2,95142;
00;24810;0;;Pont-sur-Yonne (89140 - F);;VILLA FLOREAL;PONT SUR YONNE;;89140;;48,28752;3,20491;
00;24821;0;;Michery (89140 - F);;LA COUR NOTRE DAME;MICHERY;;89140;;48,308;3,23622;
00;24820;0;;Villemanoche (89140 - F);;2 RUE DES NOYERS;VILLEMANOCHE;;89140;;48,30103;3,18279;
00;24816;0;;Nailly (89100 - F);;HAMEAU LES CHARMEAUX-APPT 3;NAILLY;;89100;;48,22319;3,22375;
00;24815;0;;Thorigny-sur-Oreuse (89260 - F);;1. PLACE ST HUBERT ""BARRAULT"";THORIGNY SUR OREUSE;;89260;;48,2943;3,39959;
00;24814;0;;Paron (89100 - F);;42 AVENUE DU COUVERT;PARON;;89100;;48,17755;3,23955;
00;21361;0;;Grandchamp (89350 - F);;2 RUE DES PONTS;CHARNY OREE DE PUISAYE;;89350;;47,80641;3,15482;
00;24811;0;;Sergines (89140 - F);;8 RUE DU CHATEAU;SERGINES;;89140;;48,34601;3,26293;
00;24837;0;;Chapelle-sur-Oreuse (la) (89260 - F);;17 RUE COUVERTE;LA CHAPELLE SUR OREUSE;;89260;;48,28974;3,30785;
00;24809;0;;Sens (89100 - F);;41. CHEMIN DU BAS DES GUILLEMOTTES;ROSOY;;89100;;48,19957;3,28322;
00;24806;0;;Diant (77940 - F);;7 RUE DES BONS MENAGES JONCHERIE;DIANT;;77940;;48,28189;2,99272;
00;24805;0;;Blennes (77940 - F);;26 RUE SAINT VICTOR;BLENNES;;77940;;48,25722;3,02564;
00;24803;0;;Noisy-Rudignon (77940 - F);;8 RESIDENCE LES GRIOTTES;NOISY RUDIGNON;;77940;;48,33534;2,93029;
00;24801;0;;Chevry-en-Sereine (77710 - F);;VILLECHASSON ABBAYE;CHEVRY EN SEREINE;;77710;;48,25325;2,94447;
00;24813;0;;Saint-Martin-du-Tertre (89100 - F);;15 LES JOIGNIAUX;ST MARTIN DU TERTRE;;89100;;48,21667;3,26259;
00;24828;0;;Postolle (la) (89260 - F);;2 RUE DE VERMONT;LA POSTOLLE;;89260;;48,28128;3,44485;
00;24796;0;;Brannay (89150 - F);;4 RUE DES VIEUX FOURNEAUX;BRANNAY;;89150;;48,23093;3,11873;
00;24838;0;;Villiers-Louis (89760 - F);;8 RUE DE L ETANG;VILLIERS LOUIS;;89760;;48,19086;3,40293;
00;24841;0;;Voisines (89260 - F);;1 RUE DE L EGLISE;VOISINES;;89260;;48,25282;3,39352;
00;24846;0;;Villeneuve-l Archevêque (89190 - F);;19 RUE MOZART;VILLENEUVE L ARCHEVEQUE;;89190;;48,23674;3,56214;
00;24847;0;;Marcilly-le-Hayer (10290 - F);;25 BIS RUE DE LA MOTHE;MARCILLY LE HAYER;;10290;;48,34755;3,63536;
00;24850;0;;Palis (10190 - F);;89 RUE DE LA REPUBLIQUE;AIX VILLEMAUR PALIS;;10190;;48,28735;3,70897;
00;24851;0;;Foissy-sur-Vanne (89190 - F);;1 GRANDE RUE;FOISSY SUR VANNE;;89190;;48,22366;3,5057;
00;24854;0;;Courgenay (89190 - F);;MOULIN DE VAULUISANT;COURGENAY;;89190;;48,28748;3,54735;
00;24855;0;;Pouy-sur-Vannes (10290 - F);;3 RUE DE LA CHEVALERIE;POUY SUR VANNES;;10290;;48,3066;3,58827;
00;24856;0;;Lailly (89190 - F);;15 RUE JEAN MERIC;LAILLY;;89190;;48,24525;3,52997;
00;24858;0;;Planty (10160 - F);;12 GRANDE RUE;PLANTY;;10160;;48,27022;3,65419;
00;24859;0;;Bérulle (10160 - F);;5 BIS ROUTE DE RIGNY;BERULLE;;10160;;48,17443;3,66603;
00;24860;0;;Bagneaux (89190 - F);;RATEAU BAGNEAUX;BAGNEAUX;;89190;;48,23158;3,59616;
00;24824;0;;Serbonnes (89140 - F);;14 RUE FORTE;SERBONNES;;89140;;48,3207;3,20447;
00;24781;0;;Chéroy (89690 - F);;25 ALLEE DU BOIS VAUBLINS;CHEROY;;89690;;48,20224;2,99964;
00;23817;0;;Pargues (10210 - F);;9 RUE DU PATIS;PARGUES;;10210;;48,03173;4,19875;
00;23818;0;;Vallières (10210 - F);;RUE HAUTE;VALLIERES;;10210;;47,99811;4,05454;
00;24731;0;;Lorrez-le-Bocage-Préaux (77710 - F);;72 RUE EMILE BRU;LORREZ LE BOCAGE PREAUX;;77710;;48,23728;2,90136;
00;24742;0;;Montigny-sur-Loing/Sorques (77690 - F);;RUE DES TREMBLAUX;MONTIGNY SUR LOING;;77690;;48,34147;2,77015;
00;24746;0;;Écuelles (77250 - F);;10 ALLEE DU BOIS MUSE;MORET LOING ET ORVANNE;;77250;;48,35402;2,82164;
00;24748;0;;Égreville (77620 - F);;HAMEAU DES SOEURS   N.3;EGREVILLE;;77620;;48,17626;2,87281;
00;24751;0;;Montarlot (77250 - F);;53 RUE DES JONCS;MORET LOING ET ORVANNE;;77250;;48,34967;2,85099;
00;24752;0;;Ville-Saint-Jacques (77130 - F);;22 RUE DES DEMOISELLES;VILLE SAINT JACQUES;;77130;;48,34265;2,89605;
00;24759;0;;Villecerf (77250 - F);;69 RUE GRANDE;VILLECERF;;77250;;48,32655;2,85048;
00;24760;0;;Villemer (77250 - F);;10 CHEMIN DE VILLERON;VILLEMER;;77250;;48,30068;2,82571;
00;24762;0;;Paley (77710 - F);;3 RUE DE LA MAIRIE;PALEY;;77710;;48,24167;2,8589;
00;24763;0;;Villemaréchal (77710 - F);;HAMEAU DE BOISROUX;VILLEMARECHAL;;77710;;48,26729;2,86955;
00;24765;0;;Saint-Ange-le-Viel (77710 - F);;2 BIS ROUTE DE FLAGY;VILLEMARECHAL;;77710;;48,267;2,90301;
00;24799;0;;Villebéon (77710 - F);;PASSY  VILLEBEON;VILLEBEON;;77710;;48,20794;2,94147;
00;24789;0;;Voulx (77940 - F);;1 RUE GUYNEMER;VOULX;;77940;;48,28094;2,96959;
00;24866;0;;Saint-Benoist-sur-Vanne (10160 - F);;5 VOIE ROMAINE;ST BENOIST SUR VANNE;;10160;;48,2353;3,6706;
00;24795;0;;Saint-Agnan (89340 - F);;9 RUE DE LA LIBERTE;ST AGNAN;;89340;;48,30357;3,04947;
00;24794;0;;Vallery (89150 - F);;19 RUE DE SENS;VALLERY;;89150;;48,24136;3,0475;
00;24793;0;;Saint-Sérotin (89140 - F);;1 RUE DU CHATEAU;ST SEROTIN;;89140;;48,24822;3,15962;
00;24792;0;;Courlon-sur-Yonne (89140 - F);;2BIS RUE DE L ILOT;COURLON SUR YONNE;;89140;;48,33946;3,16616;
00;24775;0;;Épisy (77250 - F);;6 RUE DE L ABREUVOIR;MORET LOING ET ORVANNE;;77250;;48,33418;2,78205;
00;24790;0;;Villethierry (89140 - F);;18 ROUTE DES BUISSONS;VILLETHIERRY;;89140;;48,26392;3,07148;
00;24779;0;;Remauville (77710 - F);;HAMEAU BOUCHEREAU;REMAUVILLE;;77710;;48,21113;2,82561;
00;24788;0;;Villebougis (89150 - F);;1 BIS RUE DE L ETANG;VILLEBOUGIS;;89150;;48,20125;3,16055;
00;24785;0;;Champigny (89370 - F);;PLACE DE LA GARE;CHAMPIGNY;;89370;;48,31942;3,12884;
00;24784;0;;Vinneuf (89140 - F);;ZA ST FIACRE;VINNEUF;;89140;;48,35157;3,13446;
00;24783;0;;Saint-Valérien (89150 - F);;20 CITE DE L OASIS;ST VALERIEN;;89150;;48,17936;3,09454;
00;24782;0;;Villeblevin (89340 - F);;111 RUE DU PORT;VILLEBLEVIN;;89340;;48,3247;3,0833;
00;24797;0;;Lixy (89140 - F);;6 GRANDE RUE;LIXY;;89140;;48,23825;3,09681;
00;24791;0;;Dollot (89150 - F);;FERME DE LA MARDELLE AUX LOUPS;DOLLOT;;89150;;48,21333;3,07714;
00;26131;0;;Balloy (77118 - F);;5 RUE DES PATURES;BALLOY;;77118;;48,39859;3,14757;
00;26107;0;;Saint-Mammès (77670 - F);;23 RUE DES BOIS;ST MAMMES;;77670;;48,38833;2,81535;
00;26108;0;;Écrennes (les) (77820 - F);;HAMEAU LA GRANDE COMMUNE;LES ECRENNES;;77820;;48,50435;2,85724;
00;26109;0;;Fontaine-le-Port (77590 - F);;11 BIS RUE DU CHATELET;FONTAINE LE PORT;;77590;;48,48688;2,76712;
00;26116;0;;Pamfou (77830 - F);;PARC DE CHAPUIS;PAMFOU;;77830;;48,46324;2,87014;
00;26117;0;;Machault (77133 - F);;6 RUE DES FONTENILS;MACHAULT;;77133;;48,45506;2,83099;
00;26119;0;;Donnemarie-Dontilly (77520 - F);;PAVILLON N.15;DONNEMARIE DONTILLY;;77520;;48,4785;3,12965;
00;26120;0;;Montereau-Fault-Yonne (77130 - F);;17 ROUTE DE BRAY;MONTEREAU FAULT YONNE;;77130;;48,38707;2,95922;
00;26121;0;;Varennes-sur-Seine (77130 - F);;20 ROUTE DU PETIT FOSSARD;VARENNES SUR SEINE;;77130;;48,37381;2,92298;
00;26122;0;;Saint-Germain-Laval (77130 - F);;3. ALLEE DES PAQUERETTES;ST GERMAIN LAVAL;;77130;;48,39926;2,99814;
00;26124;0;;Montigny-Lencoup (77520 - F);;147 RUE DE MAROLLES;MONTIGNY LENCOUP;;77520;;48,45266;3,06484;
00;26126;0;;Fontains (77370 - F);;8 RUE DU TREVOIS;FONTAINS;;77370;;48,52639;3,00275;
00;26127;0;;Chapelle-Rablais (la) (77370 - F);;10 RUE ST-BONNET;LA CHAPELLE RABLAIS;;77370;;48,51051;2,97161;
00;24863;0;;Chigy (89190 - F);;20 RUE DU MOULIN;CHIGY;;89190;;48,20019;3,47744;
00;26130;0;;Salins (77148 - F);;1 CHEMIN DES LARRONS;SALINS;;77148;;48,4215;3,02244;
00;26094;0;;Champagne-sur-Seine (77430 - F);;112 RUE GRANDE;CHAMPAGNE SUR SEINE;;77430;;48,40256;2,79936;
00;26133;0;;Gurcy-le-Châtel (77520 - F);;CHALAUTRE LA REPOSTE;GURCY LE CHATEL;;77520;;48,47319;3,08312;
00;26134;0;;Gravon (77118 - F);;12 ROUTE DE MONTREAU;GRAVON;;77118;;48,39915;3,1213;
00;26135;0;;Vimpelles (77520 - F);;9 RUE DU MARAIS;VIMPELLES;;77520;;48,43903;3,16471;
00;26137;0;;Thénisy (77520 - F);;70 RUE GRANDE;THENISY;;77520;;48,48921;3,17738;
00;26139;0;;Barbey (77130 - F);;1 CHEMIN DE MONTERAU;BARBEY;;77130;;48,36599;3,05587;
00;26141;0;;Châtenay-sur-Seine (77126 - F);;15 HAMEAU DU PLESSIS;CHATENAY SUR SEINE;;77126;;48,42278;3,1035;
00;26150;0;;Coutençon (77154 - F);;21 RUE DES BILLETTES;COUTENCON;;77154;;48,47084;2,99699;
00;26151;0;;Cessoy-en-Montois (77520 - F);;3. RUE DES ROSES;CESSOY EN MONTOIS;;77520;;48,50551;3,14854;
00;26152;0;;Échouboulains (77830 - F);;7 RUE CLEMENCEAU;ECHOUBOULAINS;;77830;;48,46249;2,94584;
00;26158;0;;Noyen-sur-Seine/Port-Montain (77114 - F);;6 RUE DES ARCHES;NOYEN SUR SEINE;;77114;;48,46028;3,33117;
00;26160;0;;Gumery (10400 - F);;8 BIS RUE DES TILLEULS;GUMERY;;10400;;48,44598;3,43028;
00;26162;0;;Sainte-Colombe (77650 - F);;7 RESIDENCE LES GLYCINES;STE COLOMBE;;77650;;48,53068;3,256;
00;26163;0;;Pailly (89140 - F);;4 RUE NEUVE;PAILLY;;89140;;48,35215;3,32261;
00;26129;0;;Villeneuve-les-Bordes (77154 - F);;9 RUE DES FOSSES;VILLENEUVE LES BORDES;;77154;;48,48671;3,04335;
00;24897;0;;Bouilly (10320 - F);;1 RUE   DU CHAMP PILE;BOUILLY;;10320;;48,19673;4,00112;
00;23798;0;;Avreuil (10130 - F);;PLACE DE L EGLISE;AVREUIL;;10130;;48,04588;4,00012;
00;24867;0;;Molinons (89190 - F);;2 RUE DU MOULIN;MOLINONS;;89190;;48,23201;3,53789;
00;24870;0;;Estissac (10190 - F);;35 RUE CAROUGAT BORGNAT;ESTISSAC;;10190;;48,27309;3,81349;
00;24871;0;;Aix-en-Othe (10160 - F);;2 ROUTE DE BOEURS;AIX VILLEMAUR PALIS;;10160;;48,22248;3,7324;
00;24873;0;;Vauchassis (10190 - F);;14 PETITE ROUTE DE BEAUMONT;VAUCHASSIS;;10190;;48,22224;3,92508;
00;24874;0;;Bucey-en-Othe (10190 - F);;13 RUE DU CHAAST;BUCEY EN OTHE;;10190;;48,25755;3,86875;
00;24877;0;;Villemoiron-en-Othe (10160 - F);;6 CHEMIN DE LA SOURCE;VILLEMOIRON EN OTHE;;10160;;48,19704;3,78292;
00;24881;0;;Fontvannes (10190 - F);;7 RUE DES ANCIENS D AFN;FONTVANNES;;10190;;48,27802;3,87575;
00;24885;0;;Prugny (10190 - F);;25 GRANDE RUE;PRUGNY;;10190;;48,24711;3,94505;
00;24887;0;;Neuville-sur-Vannes (10190 - F);;18 RUE DE LA FONTAINE BOUVOTTE;NEUVILLE SUR VANNE;;10190;;48,25557;3,77825;
00;24890;0;;Chennegy (10190 - F);;2 CHEMIN DES ENTES;CHENNEGY;;10190;;48,22513;3,85591;
00;24891;0;;Sommeval (10320 - F);;671 RUE DE LA FONTAINE;SOMMEVAL;;10320;;48,16515;3,96681;
00;24892;0;;Saint-Mards-en-Othe (10160 - F);;30 RUE CHARLES PETIT;ST MARDS EN OTHE;;10160;;48,17252;3,8001;
00;26106;0;;Chartrettes (77590 - F);;365 RUE DU PETIT VAU;CHARTRETTES;;77590;;48,48737;2,70402;
00;24920;0;;Saint-Pouange (10120 - F);;RUE DU LAVOIR;ST POUANGE;;10120;;48,22602;4,04398;
00;24864;0;;Rigny-le-Ferron (10160 - F);;30 GRANDE RUE;RIGNY LE FERRON;;10160;;48,2073;3,63231;
00;26092;0;;Châtelet-en-Brie (le) (77820 - F);;2 RUE DES ANGLOS;LE CHATELET EN BRIE;;77820;;48,50466;2,79297;
00;24938;0;;Villy-le-Maréchal (10800 - F);;13 GRANDE RUE;VILLY LE MARECHAL;;10800;;48,1881;4,0755;
00;24937;0;;Villemereuil (10800 - F);;12 RUE DE L OUSSE;VILLEMEREUIL;;10800;;48,1996;4,08826;
00;24934;0;;Barberey-Saint-Sulpice (10600 - F);;GENERAL LEE;BARBEREY ST SULPICE;;10600;;48,33739;4,0329;
00;24895;0;;Troyes (10000 - F);;57 RUE BROCARD;TROYES;;10000;;48,29906;4,07826;
00;24922;0;;Saint-Jean-de-Bonneval (10320 - F);;22 RUE DE CHANAY;SAINT JEAN DE BONNEVAL;;10320;;48,17316;4,04857;
00;24896;0;;Chapelle-Saint-Luc (la) (10600 - F);;7 RUE L CARNOT;LA CHAPELLE ST LUC;;10600;;48,31308;4,04387;
00;24915;0;;Laines-aux-Bois (10120 - F);;28 RUE DE LA CROIX MASSEY;LAINES AUX BOIS;;10120;;48,23472;3,99492;
00;24907;0;;Saint-Germain (10120 - F);;703 RUE GUILLEMIN;ST ANDRE LES VERGERS;;10120;;48,25796;4,03113;
00;24904;0;;Pont-Sainte-Marie (10150 - F);;4 RUE ROGER SALENGRO;PONT STE MARIE;;10150;;48,32205;4,10001;
00;24902;0;;Saint-Parres-aux-Tertres (10410 - F);;LE PRE AUX DAMES;ST PARRES AUX TERTRES;;10410;;48,29955;4,1182;
00;24899;0;;Sainte-Savine (10300 - F);;8 LES DAGUES;STE SAVINE;;10300;;48,29576;4,04724;
00;26096;0;;Vernou-la-Celle-sur-Seine (77670 - F);;MARANGIS;VERNOU LA CELLE SUR SEINE;;77670;;48,38882;2,84811;
00;24925;0;;Villery (10320 - F);;22 RUE DU HAUT;VILLERY;;10320;;48,16965;4,02055;
00;22609;0;;Beaumont (89250 - F);;4 RUE DES PONTS;BEAUMONT;;89250;;47,92039;3,5587;
00;22570;0;;Chevillon (89120 - F);;9 LES QUARTERONS;CHARNY OREE DE PUISAYE;;89120;;47,92025;3,1771;
00;22574;0;;Sépeaux (89116 - F);;23 GRAND BAILLY;SEPEAUX ST ROMAIN;;89116;;47,94254;3,23698;
00;22576;0;;Ferté-Loupière (la) (89110 - F);;LES RIGOLETS;LA FERTE LOUPIERE;;89110;;47,89588;3,23513;
00;22582;0;;Migennes (89400 - F);;23 RUE DU 4 SEPTEMBRE;MIGENNES;;89400;;47,96384;3,51277;
00;22584;0;;Perrigny (89000 - F);;19 BIS GRANDE RUE;PERRIGNY;;89000;;47,81888;3,54017;
00;22585;0;;Appoigny (89380 - F);;76 ROUTE D AUXERRE;APPOIGNY;;89380;;47,87588;3,52718;
00;22587;0;;Gurgy (89250 - F);;2 CHEMIN DES GRANDS HAUTS BORDS;GURGY;;89250;;47,8675;3,56129;
00;22589;0;;Charmoy (89400 - F);;23 RUE BASSE;CHARMOY;;89400;;47,9414;3,49166;
00;22590;0;;Laroche-Saint-Cydroine (89400 - F);;15 RUE DES COIGNOTTES;LAROCHE ST CYDROINE;;89400;;47,96412;3,48511;
00;22592;0;;Charbuy (89113 - F);;11 RUE DU ROSAIRE LES RAGONS;CHARBUY;;89113;;47,82468;3,46648;
00;22596;0;;Villeneuve-Saint-Salves (89230 - F);;28 RUE DU CHATEAU;VILLENEUVE ST SALVES;;89230;;47,85472;3,65153;
00;22598;0;;Venouse (89230 - F);;1 RUE LAURENT DARLOT;VENOUSE;;89230;;47,89553;3,68268;
00;22646;0;;Butteaux (89360 - F);;RUE FAUSSE BILLON;BUTTEAUX;;89360;;47,97731;3,8101;
00;22607;0;;Ormoy (89400 - F);;LA MALMAISON;ORMOY;;89400;;47,95285;3,57434;
00;22563;0;;Précy-sur-Vrin (89116 - F);;14 LD DIT LES GAUGINS;PRECY SUR VRIN;;89116;;47,96783;3,24858;
00;22611;0;;Villemer (89113 - F);;12 RUE DU GUE VEILLOT;VALRAVILLON;;89113;;47,91547;3,47248;
00;22614;0;;Chemilly-sur-Yonne (89250 - F);;7 RUE DU STADE;CHEMILLY SUR YONNE;;89250;;47,89908;3,56262;
00;22621;0;;Tonnerre (89700 - F);;6 RUE JEHAN REGNIER;TONNERRE;;89700;;47,85664;3,97546;
00;22622;0;;Chablis (89800 - F);;10 RUE DE BLANCHOT;CHABLIS;;89800;;47,81532;3,80234;
00;22623;0;;Flogny-la-Chapelle (89360 - F);;11 RUE NATIONALE;FLOGNY LA CHAPELLE;;89360;;47,95214;3,87184;
00;22624;0;;Vergigny (89600 - F);;6 RUE DES FOSSOTTES;VERGIGNY;;89600;;47,9718;3,71889;
00;22628;0;;Lignorelles (89800 - F);;3 RUE DE MILAINE;LIGNORELLES;;89800;;47,8638;3,72981;
00;22629;0;;Bernouil (89360 - F);;1 PLACE SAINT EUSTACHE;BERNOUIL;;89360;;47,89937;3,89332;
00;22630;0;;Lignières (10130 - F);;25 RUE DE SAINTE WALDEBURGES;LIGNIERES;;10130;;47,95044;3,96403;
00;22631;0;;Dannemoine (89700 - F);;4 RUE VAULEROY;DANNEMOINE;;89700;;47,8947;3,95578;
00;22635;0;;Roffey (89700 - F);;ET MME BEAUMONT MARTINE;ROFFEY;;89700;;47,91896;3,91899;
00;22636;0;;Tissey (89700 - F);;5 LD LES BARAQUES;TISSEY;;89700;;47,85417;3,90341;
00;23804;0;;Crésantignes (10320 - F);;67 RUE PRINCIPALE;CRESANTIGNES;;10320;;48,14079;4,01918;
00;22604;0;;Bonnard (89400 - F);;6 RUE DU SECHE BOUTEILLE;BONNARD;;89400;;47,92657;3,52211;
00;22539;0;;Chêne-Arnoult (89120 - F);;11 RUE DU CHAMP DE BERRY;CHARNY OREE DE PUISAYE;;89120;;47,90179;3,06957;
00;21379;0;;Merry-la-Vallée (89110 - F);;9 RUE D EGLENY;MERRY LA VALLEE;;89110;;47,79911;3,33435;
00;21382;0;;Auxerre (89000 - F);;8 RUE LOUIS RENAULT;AUXERRE;;89000;;47,79621;3,56993;
00;21384;0;;Chevannes (89240 - F);;15 RUE DES ECOLES;CHEVANNES;;89240;;47,75237;3,49342;
00;21385;0;;Saint-Georges-sur-Baulche (89000 - F);;10 ALLEE D ANJOU;ST GEORGES SUR BAULCHE;;89000;;47,8003;3,53145;
00;21388;0;;Saint-Bris-le-Vineux (89530 - F);;16 RUE DE PARIS;ST BRIS LE VINEUX;;89530;;47,74352;3,65117;
00;21395;0;;Augy (89290 - F);;3 RUE SOUFFLOT;AUGY;;89290;;47,76576;3,61309;
00;21423;0;;Saint-Cyr-les-Colons/Préhy (89800 - F);;4 RUE DE LA FONTAINE;PREHY;;89800;;47,76038;3,75902;
00;21429;0;;Saint-Cyr-les-Colons (89800 - F);;9 RUE DE VOUCHARMES - PREHY;ST CYR LES COLONS;;89800;;47,74177;3,73781;
00;21435;0;;Viviers (89700 - F);;11 RUE HAUTE;VIVIERS;;89700;;47,8047;3,9251;
00;21440;0;;Ancy-le-Franc (89160 - F);;ANCY LE FRANC;ANCY LE FRANC;;89160;;47,7754;4,16414;
00;21458;0;;Villiers-les-Hauts (89160 - F);;12 RUE BASSE;VILLIERS LES HAUTS;;89160;;47,72842;4,15266;
00;21459;0;;Lézinnes (89160 - F);;1 ROUTE NATIONALE;LEZINNES;;89160;;47,80208;4,09099;
00;21461;0;;Pacy-sur-Armançon (89160 - F);;6 RUE DU BICETRE;PACY SUR ARMANCON;;89160;;47,77868;4,09415;
00;22567;0;;Saint-Aubin-Château-Neuf (89110 - F);;SAINT AUBIN CHATEAU NEUF;LE VAL D OCRE;;89110;;47,8241;3,31088;
00;22549;0;;Aillant-sur-Tholon (89110 - F);;7 RUE DES BLUES;MONTHOLON;;89110;;47,87474;3,35118;
00;22647;0;;Vézannes (89700 - F);;8 GRANDE RUE;VEZANNES;;89700;;47,87669;3,87466;
00;22561;0;;Ormes (les) (89110 - F);;LE BOURG;LES ORMES;;89110;;47,85073;3,26448;
00;22559;0;;Chassy (89110 - F);;22 ROUTE DE CHAUMONT;CHASSY;;89110;;47,85268;3,34914;
00;22557;0;;Cudot (89116 - F);;4 RUE DE CHEVILLON;CUDOT;;89116;;47,98372;3,18014;
00;22555;0;;Sommecaise (89110 - F);;NO 4 LIEU DIT LES CHAILLOUX;SOMMECAISE;;89110;;47,8493;3,23151;
00;22530;0;;Charny (89120 - F);;14 ALLEE DE LA PLAINE;CHARNY OREE DE PUISAYE;;89120;;47,88744;3,09554;
00;22551;0;;Cézy (89410 - F);;4 IMPASSE DU PEAGE;CEZY;;89410;;47,99166;3,34211;
00;22538;0;;Fontenouilles (89120 - F);;HAMEAU LOISEAU;CHARNY OREE DE PUISAYE;;89120;;47,88987;3,04647;
00;22548;0;;Saint-Martin-sur-Ouanne (89120 - F);;18 ROUTE DE TOUCY;CHARNY OREE DE PUISAYE;;89120;;47,8398;3,10637;
00;22546;0;;Perreux (89120 - F);;22 LES JOUBINS;CHARNY OREE DE PUISAYE;;89120;;47,85892;3,15302;
00;22543;0;;Prunoy (89120 - F);;CHATEAU DE PRUNOY;CHARNY OREE DE PUISAYE;;89120;;47,91397;3,12955;
00;22541;0;;Dicy (89120 - F);;22 CHEMIN DES CHATS;CHARNY OREE DE PUISAYE;;89120;;47,93365;3,10763;
00;22540;0;;Villefranche (89120 - F);;5 CLOS DES TROUSSARDS;CHARNY OREE DE PUISAYE;;89120;;47,93919;3,12922;
00;22564;0;;Poilly-sur-Tholon (89110 - F);;MOULIN DE MARNAY;POILLY SUR THOLON;;89110;;47,87094;3,39784;
00;22552;0;;Celle-Saint-Cyr (la) (89116 - F);;LES MARAIS;LA CELLE ST CYR;;89116;;47,97354;3,29254;
00;23770;0;;Auxon (10130 - F);;85 RUE DU BEAUREGARD;AUXON;;10130;;48,10943;3,91706;
00;23751;0;;Cerisiers (89320 - F);;34 RUE DU CHATEAU D EAU LA LONGUERAI;CERISIERS;;89320;;48,13061;3,4893;
00;23753;0;;Fournaudin (89320 - F);;2 RUE DU PORT;FOURNAUDIN;;89320;;48,15398;3,641;
00;23754;0;;Chailley (89770 - F);;40 BIS GRANDE RUE;CHAILLEY;;89770;;48,08071;3,70377;
00;23756;0;;Arces-Dilo (89320 - F);;4 RUELLE GOULVIN;ARCES DILO;;89320;;48,0912;3,5999;
00;23757;0;;Bellechaume (89210 - F);;14 RUE DU PROFESSEUR RAMON;BELLECHAUME;;89210;;48,0423;3,60592;
00;23758;0;;Champlost (89210 - F);;6 RUE DES BLANCHISSEURS;CHAMPLOST;;89210;;48,02719;3,66862;
