SHEET_NUMBER=2;
SHEET_NAME=Adresse;12;2;
identité;type;zone;nom du site;lieu dit;rue;ville;pays;code postale;commentaire;latitude;longitude;
id;idTypeSite;idZone;name;name2;street;city;country;postcode;comments;latitude;longitude;
string key;string;string;string;string;string;string;string;string;string;string;string;
F0000;1;;Dépôt Piot;;13 Allée du Piot;GALLARGUES LE MONTUEUX;France;;;;;
F1311;;;SUPER MARKET (INTERMARKET);;52 BVD DORGELES;Marseille;France;13014;;;;
F1312;;;VITAMINES;;398 AVENUE SAINT ANTOINE;MARSEILLE;France;13015;;;;
F1313;;;O BON COUT;;258 avenue Roger Salengo;MARSEILLE;France;13015;;;;
F1314;;;AAVISENE 001563;;15 Rue Président John Fitzgerald Kennedy;ARLES;France;13200;;;;
F1315;;;BOUCHERIE L'ORANAISE;ZAC LA VAMPE;62 AVENUE DE LA FAUCONNIERE;Châteauneuf-les-Martigues;France;13220;;;;
F1316;;;SID;;480 avenue de la Rasclave;LA PENNE SUR HUVEAUNE;France;13821;;;;
F3007;;;BOUCHERIE L'OASIS;;4 PLACE JEAN ROBERT;NIMES;France;30000;;;;
F3009;;;ABDELMALEK TOUNSI 000595;;44 RUE BALLET;BAGNOLS SUR CEZE;France;30200;;;;
F3011;;;GKM;;83, rue des Lamparos;Le Grau-du-Roi;France;30240;;;;
F3012;;;EL MASSARI;;4 RUE JEAN MOULIN;UZES;France;30700;;;;
F3013;;;ABBADI AZIZ  002552;;16 AVENUE DE CAMARGUES;ST GILLES;France;30800;;;;
F3014;;;AB  DISTRIBUTION 002340;;94 AVENUE DOC FLEMMING;NIMES;France;30900;;;;
F3016;;;ALIMENTATION LE SOLEIL LEVANT;;23 Rue Matisse;NIMES;France;30900;;;;
F3405;;;SUPERMARKET 34;;672 RUE PAS DU LOUP;Montpellier;France;34070;;;;
F3409;;;BOUCHERIE FANTASIA 2;C C ST PAUL;105 AVENUE DU LAURAGAIS;MONTPELLIER;FRANCE;34080;;;;
F3411;;;BOUCHERIE OCCITANE;RES NEW CASTELE;1605 AVENUE DE L'EUROPE;CASTELNAU LE LEZ;France;34170;;;;
F3414;;;BIRCAN MARKET;ZAC DU PUECH RADIER;22 RUE MONTELES l'EGLISE;LATTES;France;34970;;;;
F8401;;;A.Y TRADE 002409;;33 RUE DU LUBERON;LE PONTET;France;84130;;;;
F8402;;;VIANDART;;14 RUE DAVID GUILLABERT;CARPENTRAS;France;84200;;;;
F8403;;;DAHMANI Sabri;;25 Rue des Magnolias;CAVAILLON;France;84300;;;;
F8405;;;ABY BOUCHERIE  001698;;54 CHEM DE LA GRANGE DES ROUE;SORGUES;France;84700;;;;
F9966;;;2711 Route de Sylvéréal;;;Saint-Gilles;France;30800;;;;
